Target Distance: 50, Step Size: 2
1: (x, y) = (1.59727, -1.20363)
2: (x, y) = (0.752034, 0.608986)
3: (x, y) = (2.37007, 1.78456)
4: (x, y) = (3.96734, 2.98819)
5: (x, y) = (3.21813, 4.84255)
6: (x, y) = (5.10916, 5.49369)
7: (x, y) = (7.10429, 5.35418)
8: (x, y) = (6.79142, 3.3788)
9: (x, y) = (4.95041, 4.16026)
10: (x, y) = (6.68246, 5.16026)
11: (x, y) = (5.29315, 3.72158)
12: (x, y) = (5.64044, 1.75197)
13: (x, y) = (3.92611, 2.78204)
14: (x, y) = (2.56211, 1.31934)
15: (x, y) = (1.41496, 2.95764)
16: (x, y) = (3.1642, 1.98802)
17: (x, y) = (3.6141, 0.0392811)
18: (x, y) = (4.49084, -1.75831)
19: (x, y) = (5.88016, -3.19699)
20: (x, y) = (7.31884, -1.80767)
21: (x, y) = (9.29938, -1.52932)
22: (x, y) = (7.31428, -1.77306)
23: (x, y) = (7.03594, 0.207474)
24: (x, y) = (8.45015, 1.62169)
25: (x, y) = (6.52763, 1.07041)
26: (x, y) = (6.52763, 3.07041)
27: (x, y) = (5.74616, 4.91142)
28: (x, y) = (6.16199, 2.95513)
29: (x, y) = (5.0436, 1.29705)
30: (x, y) = (6.98419, 1.7809)
31: (x, y) = (8.98145, 1.67622)
32: (x, y) = (7.10207, 0.992184)
33: (x, y) = (5.84343, 2.54648)
34: (x, y) = (5.66912, 0.554086)
35: (x, y) = (5.01798, 2.44512)
36: (x, y) = (4.20451, 4.27221)
37: (x, y) = (4.68835, 2.33162)
38: (x, y) = (4.17071, 4.26347)
39: (x, y) = (6.10256, 4.78111)
40: (x, y) = (7.46656, 3.31841)
41: (x, y) = (9.4471, 3.59675)
42: (x, y) = (8.50815, 1.83086)
43: (x, y) = (7.33258, 0.212822)
44: (x, y) = (5.49157, 0.994284)
45: (x, y) = (4.84044, 2.88532)
46: (x, y) = (6.84013, 2.85042)
47: (x, y) = (8.83983, 2.88532)
48: (x, y) = (8.63077, 0.896278)
49: (x, y) = (9.50751, -0.90131)
50: (x, y) = (10.9217, -2.31552)
51: (x, y) = (12.153, -3.89155)
52: (x, y) = (10.1579, -3.75203)
53: (x, y) = (8.5819, -2.52071)
54: (x, y) = (9.9459, -1.058)
55: (x, y) = (8.43648, -2.37012)
56: (x, y) = (6.70443, -3.37012)
57: (x, y) = (8.6798, -3.05725)
58: (x, y) = (6.88221, -3.93399)
59: (x, y) = (8.87734, -3.79448)
60: (x, y) = (8.03211, -5.6071)
61: (x, y) = (6.50002, -6.89267)
62: (x, y) = (5.29639, -8.48994)
63: (x, y) = (6.75909, -9.85394)
64: (x, y) = (5.27281, -11.1922)
65: (x, y) = (3.78652, -9.85394)
66: (x, y) = (4.56798, -8.01293)
67: (x, y) = (2.80208, -8.95187)
68: (x, y) = (3.61556, -10.779)
69: (x, y) = (5.05424, -9.38965)
70: (x, y) = (4.87992, -7.39726)
71: (x, y) = (4.09846, -9.23827)
72: (x, y) = (5.32978, -7.66225)
73: (x, y) = (7.17079, -8.44371)
74: (x, y) = (9.15589, -8.68745)
75: (x, y) = (9.43423, -6.70691)
76: (x, y) = (10.9205, -8.04517)
77: (x, y) = (9.50631, -9.45939)
78: (x, y) = (10.9205, -10.8736)
79: (x, y) = (9.43423, -12.2119)
80: (x, y) = (7.5432, -11.5607)
81: (x, y) = (5.96717, -10.3294)
82: (x, y) = (7.42988, -8.9654)
83: (x, y) = (5.68064, -9.93502)
84: (x, y) = (3.85355, -9.12155)
85: (x, y) = (3.85355, -7.12155)
86: (x, y) = (4.94283, -8.79889)
87: (x, y) = (6.93187, -8.58983)
88: (x, y) = (8.68111, -9.55945)
89: (x, y) = (10.5483, -8.84272)
90: (x, y) = (12.5179, -8.49542)
91: (x, y) = (12.5877, -6.49664)
92: (x, y) = (11.7742, -4.66955)
93: (x, y) = (10.8662, -6.45156)
94: (x, y) = (12.2556, -5.01288)
95: (x, y) = (10.4897, -5.95183)
96: (x, y) = (9.90491, -7.86443)
97: (x, y) = (11.8368, -8.38207)
98: (x, y) = (12.9551, -6.724)
99: (x, y) = (13.9852, -5.00966)
100: (x, y) = (15.7345, -4.04004)
101: (x, y) = (13.9852, -3.07042)
102: (x, y) = (11.9864, -3.00063)
103: (x, y) = (12.2648, -1.02009)
104: (x, y) = (14.2645, -0.985185)
105: (x, y) = (12.2839, -0.706838)
106: (x, y) = (10.3614, -0.155564)
107: (x, y) = (8.39817, -0.537182)
108: (x, y) = (9.99544, 0.666448)
109: (x, y) = (11.9708, 0.35358)
110: (x, y) = (12.5221, -1.56894)
111: (x, y) = (13.2061, 0.310441)
112: (x, y) = (11.8421, 1.77315)
113: (x, y) = (13.5565, 0.743073)
114: (x, y) = (13.8693, -1.2323)
115: (x, y) = (14.5205, -3.12334)
116: (x, y) = (15.2372, -4.9905)
117: (x, y) = (15.0977, -2.99537)
118: (x, y) = (13.149, -2.54547)
119: (x, y) = (12.8706, -4.52601)
120: (x, y) = (11.9939, -2.72842)
121: (x, y) = (9.99661, -2.62375)
122: (x, y) = (11.9662, -2.97104)
123: (x, y) = (11.5504, -1.01475)
124: (x, y) = (12.2996, -2.86912)
125: (x, y) = (12.2298, -4.8679)
126: (x, y) = (13.5154, -6.39999)
